Location,Joined Group on,Last visited group on,Last Attended,Total RSVPs,RSVPed Yes,RSVPed Maybe,RSVPed No,Meetups attended,No shows,Intro,Photo,Assistant Organizer,Mailing List,URL of Member Profile,What do you use R for?,What's your favourite CRAN package?,What's your experience in R?
"Chicago, IL",10/28/2013,02/09/2014,12/03/2013,2,2,0,0,2,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/109055352/ ,"Work, Self Study",N.A.,Middle
Singapore,03/20/2014,03/20/2014,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/138155112/ ,Haven't used it yet - am looking to start and learn this skill,"Sorry, don't know what CRAN is",unfortunately none
Singapore,04/19/2011,10/28/2013,04/04/2012,1,1,0,0,1,0,Yes,No,No,Digest,http://www.meetup.com/R-User-Group-SG/members/14530541/ ,Newbie. Plan to use it for financial models,None yet.,Just learning to use it.
Stockholm,04/08/2014,04/12/2014,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/64796382/ ,"I don't really, not yet atleast",-,-
Singapore,03/19/2011,05/08/2013,04/08/2011,2,2,0,0,2,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/14281652/ ,not using yet,none,none
Singapore,03/27/2014,03/27/2014,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/110169702/ ,not yet just curious,not yet just curious,not yet just curious
Singapore,03/09/2013,04/27/2014,03/27/2013,1,1,0,0,1,0,Yes,Yes,No,No,http://www.meetup.com/R-User-Group-SG/members/83086842/ ,"quick data analysis, visualization",RgoogleMaps is pretty neat.,"Not much professional experience in R, I'm interested in learning more."
Singapore,09/13/2013,10/03/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/30178172/ ,Currently not using R but I do have interested in the language and the maths behind it.,None yet.,Beginner.
Singapore,12/01/2012,04/24/2014,01/15/2014,3,2,0,1,2,0,Yes,Yes,No,Digest,http://www.meetup.com/R-User-Group-SG/members/62576182/ ,Portfolio optimization econometrics,princomp,moderate but narrow - keen to learn about more packages and more non finance problems
Singapore,06/13/2013,03/18/2014,09/26/2013,2,2,0,0,2,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/97818032/ ,data mining for e-commerce,"ggplot2, rgl",I learnt to use R since 2009
Singapore,09/13/2013,09/16/2013,09/19/2013,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/111066392/ ,hi,hi,hi
Singapore,05/11/2014,05/13/2014,,1,1,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/141565612/ ,"PhD, research",Knitr,Average-low
Singapore,08/07/2013,08/07/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/97050122/ ,"Interested in R, not used yet",NA,N
Singapore,05/08/2013,06/28/2013,05/17/2013,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/92574782/ ,hey,hey,hey
Singapore,10/23/2012,03/21/2013,,0,0,0,0,0,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/67182952/ ,Data mining and analytics consulting,Still looking for it.,Picking it up fast!
Singapore,04/05/2014,04/23/2014,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/123236432/ ,Statistic,none,ok
Singapore,03/11/2014,04/23/2014,03/12/2014,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/92014052/ ,Analytics,-,None
Singapore,06/17/2012,06/17/2012,,0,0,0,0,0,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/13983196/ ,Do not yet,NA,Zilch
Singapore,07/24/2011,06/11/2012,,3,0,0,3,0,0,Yes,Yes,No,Digest,http://www.meetup.com/R-User-Group-SG/members/2140972/ ,We want to use R for classification problems in counterfeit monitoring.,Not yet one.,I am a beginner with R.
Singapore,11/06/2012,09/13/2013,,0,0,0,0,0,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/68724042/ ,interest,ts,1yr
Singapore,09/04/2013,03/16/2014,03/12/2014,2,2,0,0,2,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/109840022/ ,Would be for financial applications. Haven't quite dabbled in it.,NA,Newbie :)
Singapore,05/02/2012,11/10/2013,06/05/2013,5,4,0,1,3,1,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/46549682/ ,"Andrew analyses one of Australia's largest portfolio of product warranties for a major retailer and advises on appropriate premium levels, reserving, underwriting, claim management and investments. He also advises retailers and manufacturers on the most durable brands, expected survival times and major causes of breakdown within different product categories.",FinMetrics (for S-Plus),10 years in mostly S-Plus/R and 6 years in SAS previously.
Singapore,11/22/2013,03/12/2014,12/03/2013,2,1,0,1,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/117961802/ ,New to R,N/a,Non
Singapore,12/27/2013,05/09/2014,,0,0,0,0,0,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/14227553/ ,new in R,0,0
Singapore,03/25/2011,02/10/2014,,2,0,0,2,0,0,Yes,Yes,No,No,http://www.meetup.com/R-User-Group-SG/members/14334584/ ,Statistical models in marketing,multicore,few years
Singapore,02/21/2013,07/19/2013,08/14/2013,1,1,0,0,1,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/81572182/ ,I wish to learn R for my research project,None,None
Singapore,03/06/2014,05/13/2014,03/12/2014,3,3,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/136104012/ ,"Parsing large data, visualization, modeling","XTS, dplyr, caret, rcharts",5+ years
Singapore,01/04/2014,03/28/2014,01/15/2014,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/121959412/ ,Data analysis,Math,Brginner
Singapore,08/05/2013,08/13/2013,08/14/2013,1,1,0,0,1,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/105385402/ ,I want to learn R and get to know the areas in which I can use R,Not aware,Nill
Singapore,12/04/2012,05/13/2014,03/12/2014,11,10,0,1,9,0,Yes,No,No,Digest,http://www.meetup.com/R-User-Group-SG/members/71746982/ ,"Fun, exploratory data analysis, visualizations, basic statistics","Many.. plyr, Rodbc, ggplot2, lattice, data.table",3 month
Singapore,08/11/2012,03/10/2014,04/23/2014,5,5,0,0,4,0,Yes,No,No,Digest,http://www.meetup.com/R-User-Group-SG/members/47925872/ ,I have not used R before and what to know more about it.,I have not used R before and what to know more about it.,I have not used R before and what to know more about it.
Singapore,11/14/2013,01/13/2014,12/03/2013,1,1,0,0,1,0,Yes,No,No,No,http://www.meetup.com/R-User-Group-SG/members/119947432/ ,Only starting to use R,n/a,Only starting to use R
Singapore,01/03/2014,05/07/2014,03/12/2014,2,1,0,1,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/16818161/ ,Machine learning algorithms,not specific yet,Fresher but willing to learn it more
Singapore,06/16/2013,05/11/2014,01/15/2014,2,2,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/98205422/ ,College projects,Reshape,Beginner
Ni Dilli,09/16/2013,10/12/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/99909812/ ,Research,Can't Say,Quit well
Singapore,03/10/2014,03/10/2014,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/37086072/ ,Not used R yet,No idea,None
Singapore,03/16/2014,03/16/2014,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/11961536/ ,Statistical analysis,None,Limited; I mostly use Stata
Singapore,08/05/2013,05/12/2014,03/12/2014,5,3,0,2,3,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/105369942/ ,"Haven't used R so far, but will be using in the future, want to know more about R",I am just starting to learn,I am just starting to learn
Singapore,04/22/2014,04/22/2014,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/143153192/ ,"I used R for data cleaning, processing, analysis, and visualizing.",ggplot2,I have been using R for more than a year although I learned from scratch. I am pretty confident about data processing and cleaning using R. Learning of tools and analysis frameworks to improve the skills :D
Singapore,11/27/2013,12/03/2013,12/03/2013,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/6859693/ ,"Interested in data science technologies - R, Rapid Miner",Am new (clever filter¡),Integration with kettle and lavastorm analytics.
Singapore,04/03/2012,01/23/2013,04/04/2012,1,1,0,0,1,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/43508872/ ,n,n,n
Singapore,09/10/2013,09/10/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/109909022/ ,Business Analytics,Foreign,No formal experience
Singapore,09/05/2013,09/05/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/109971662/ ,I have used R for many purposes especially when dealing with statistical programming and also for academic researches. I also have been a R trainer/facilitator for many Malaysian community. Have conducted many R workshops since coming back from UK.,Usually I am creating my own program. I have many favourate CRAN packages!!,"I have use R since 1999. I'm using it more than 15 years!. I have used R rigourously during my tenure for PhD at Lancater 2003-2007. Since then I almost forgotten about Minitab, SAS, SPSS, ...etc. I use R in all OSes (UniX/LinuX, Mac and Windows). I'm also the use of LaTeX since 1999 and glad R and LaTeX can be merged when the introducing of Rstudio -starting with sweave ... knitr/shiny. Many things to be explored in R nows..."
Singapore,08/02/2013,08/02/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/45967442/ ,Data Crunching,Tree,Using trees for data crunching
"Cincinnati, OH",12/15/2013,12/15/2013,12/18/2013,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/41378102/ ,investigations at work,ggplot,Minimal!
Singapore,05/13/2014,05/13/2014,,2,2,0,0,0,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/125450242/ ,data analysis,quantlib,little
Singapore,10/21/2012,03/23/2014,,0,0,0,0,0,0,Yes,Yes,No,Digest,http://www.meetup.com/R-User-Group-SG/members/66932002/ ,Fun!,Don have any...,No Xperience
Singapore,08/07/2010,05/16/2013,11/24/2010,3,1,1,1,1,0,Yes,No,No,No,http://www.meetup.com/R-User-Group-SG/members/12697286/ ,-,no experience with R,no experience. want to pick it up
Singapore,09/26/2013,09/26/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/113006482/ ,statistical analysis related to biophysical/natural resource research data,newbies.. so no favourite yet. I have only tried R studio.,very very low .. barely managed to modify data
"Cranbury, NJ",02/17/2013,02/17/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/14211886/ ,"Survival analysis, classification, regression in child welfare case management","survival, RPostgreSQL",3 years
Singapore,03/19/2012,11/26/2013,09/26/2013,3,2,0,1,2,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/41952642/ ,Nothing,Perl,None
Singapore,12/26/2012,04/05/2013,01/23/2013,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/73555202/ ,Data analysis,None,None
Singapore,01/27/2012,12/13/2013,08/14/2013,11,6,0,5,5,1,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/36549702/ ,"Statistics (Studying), Data Munging (Suffering), and Visualization (Storytelling) http://www.dataspora.com/2009/05/sexy-data-geeks/","wordcloud, sna, etc.",Learning by examples ...
Amsterdam,03/01/2013,03/01/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/73491502/ ,"Big Data problems, statistical analysis,",Chron,Been using it since 2012. I'm convinced!
Singapore,10/22/2013,10/22/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/74594632/ ,"data mining, analysis... i am noob.",tm...,noob
Singapore,05/06/2014,05/13/2014,,1,1,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/84619092/ ,Just starting out.,Too early to say,Absolute beginner
Singapore,11/14/2011,11/14/2011,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/30506272/ ,nothing yet,know nothing,nothing yet
Singapore,06/06/2012,06/26/2012,,0,0,0,0,0,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/50427022/ ,For my study in my university time.,too many to specify.,"My first experience came in 2004. Since then, I have been an active R user."
Singapore,02/15/2014,03/13/2014,,1,0,0,1,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/133254212/ ,I use R for project purpose and analyse genomic data.,They are plyr and biomaRt.,Using R to create graph and analyse genomic data such as handling TCGA data.
Singapore,12/21/2013,12/21/2013,,1,0,0,1,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/11652000/ ,Nothing right now.,NA,Basic R in quantitative research methods class.
Singapore,09/28/2011,10/11/2011,,1,0,0,1,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/26504592/ ,Teaching and consultation,R,"New user, started using only in 2009."
Singapore,08/13/2013,03/12/2014,,0,0,0,0,0,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/106517902/ ,Data Analytics and Visualization?,Still exploring!,Novice
Singapore,04/20/2012,09/11/2012,09/10/2012,2,2,0,0,2,0,Yes,Yes,No,Digest,http://www.meetup.com/R-User-Group-SG/members/45338252/ ,"For literally everything I do as part of my research and analytics work, especially data visualization.",I use Bioconductor packages a lot in addition to many others(too many to list).,"Been working with R for past 7 years and now hooked to it full time. Its one of best platform for statistical analysis, data mining and data viz."
Singapore,08/08/2013,02/11/2014,01/15/2014,4,3,0,1,3,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/91499952/ ,TO Solve problems of bigdata..R with Hadoop integration,RHadoop,Few months
Singapore,03/25/2011,11/19/2013,04/20/2012,6,5,0,1,5,0,Yes,Yes,No,Digest,http://www.meetup.com/R-User-Group-SG/members/14335349/ ,Hobbyist,Not used enough yet to have a fav,Amateur
Singapore,01/12/2014,04/24/2014,04/23/2014,3,3,0,0,2,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/127861182/ ,I use mainly R to develop predictive models and other data mining technics.,I am still learning about all the different existing packages. I'll answer this question a bit later.,I only have a few months of experience on R but very dedicated to improve fast on this language.
Singapore,04/16/2013,03/11/2014,04/25/2013,1,1,0,0,1,0,Yes,No,No,No,http://www.meetup.com/R-User-Group-SG/members/23154511/ ,"Meet, Learn, Scale~",Norm,Trying out now!
Singapore,07/04/2013,12/03/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/100835502/ ,Business and personal,R,I have been using R for 4 years now.
Singapore,04/22/2013,04/23/2014,01/15/2014,5,5,0,0,5,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/90292692/ ,I study statistical models. I use R for simulations and deal with large scale data.,"plyr, ggplot2",Research in statistical model using R for simulation.
Singapore,12/23/2010,07/16/2013,04/25/2013,5,5,0,0,5,0,Yes,No,No,Digest,http://www.meetup.com/R-User-Group-SG/members/4239781/ ,R seems like a powerful data analysis tool. Currently exploring just for interest sake.,nil,nil
Singapore,02/28/2012,02/28/2012,02/28/2012,1,1,0,0,1,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/3020651/ ,FOR Aviation data analytics,LDheatmap: Graphical display of pairwise linkage disequilibria between SNPs,New to R. Intend to pick up as soon as possible
Singapore,10/22/2013,12/17/2013,,0,0,0,0,0,0,Yes,Yes,No,Digest,http://www.meetup.com/R-User-Group-SG/members/116667242/ ,Work,-,Beginner
Singapore,07/08/2012,07/25/2012,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/21482361/ ,Identify production logs for point of failures,Still new :p,Null
Singapore,09/28/2013,03/12/2014,,1,0,0,1,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/10349976/ ,Text mining mostly,tm,Beginne
Singapore,10/30/2013,05/12/2014,12/03/2013,4,2,0,2,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/68577162/ ,"Data exploration, data prep, modelling, visualisation, etc",Nil,Nil
Singapore,07/26/2010,07/26/2010,,0,0,0,0,0,0,Yes,Yes,No,Digest,http://www.meetup.com/R-User-Group-SG/members/12611948/ ,Nothing at this point in time... hoping to pick it up,N.A.,Zero
Singapore,04/30/2013,05/08/2014,01/15/2014,11,11,0,0,7,1,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/91488162/ ,Trade Idea Research and Analysis,"xts, blotter, PerformanceAnalytics, quantstrat",Intermediate/Expert
Singapore,05/27/2013,07/21/2013,,1,0,0,1,0,0,Yes,No,No,No,http://www.meetup.com/R-User-Group-SG/members/95223972/ ,Complement SAS,n/a,n/a
Singapore,04/22/2013,05/13/2014,03/12/2014,9,8,0,1,8,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/90343952/ ,Explore and answer business related questions.,"At the moment, probably ggplot2 ... but I am still discovering packages","New, just started."
Singapore,05/12/2012,05/17/2012,05/23/2012,1,1,0,0,1,0,Yes,Yes,No,Digest,http://www.meetup.com/R-User-Group-SG/members/10128163/ ,Teaching,NA,Just starting out
Singapore,09/05/2013,05/13/2014,04/23/2014,4,4,0,0,4,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/60664782/ ,data analysis,RSvgDevice,tinkerer
"San Francisco, CA",04/18/2013,04/18/2013,,0,0,0,0,0,0,Yes,Yes,No,No,http://www.meetup.com/R-User-Group-SG/members/5664031/ ,Still learning,Not sure yet,Just starting to learn
Singapore,05/04/2013,05/11/2013,,0,0,0,0,0,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/92034302/ ,Academic research,NA,Beginner
Singapore,03/04/2014,03/04/2014,,0,0,0,0,0,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/89285142/ ,n/a,n/a,beginner
Singapore,10/03/2012,03/21/2013,01/23/2013,4,4,0,0,4,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/64841932/ ,Exploring right now.,ggplot2,Minimal
Singapore,05/14/2014,05/14/2014,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/77877612/ ,customer analytics,XLconnect,exposure to R as part of Masters program
Singapore,03/25/2013,09/25/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/86357582/ ,"I am keen on finding out more about R and it's applications in machine learning. As per ML, I am interested in neural nets in particular. Any other interesting aspects would be worth exploring.","No idea what it is. But I'm really keen in starting out in R and hence, Machine Learning.",None at all. Just looking for advice on starting out.
Singapore,07/22/2013,04/06/2014,08/14/2013,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/102486752/ ,Charting and some technical analysis.,Quandmod,Newbi
Singapore,04/09/2013,04/09/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/59052902/ ,Explore interests,-,Beginner
Zürich,10/19/2010,04/24/2013,10/27/2010,1,1,0,0,1,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/13223595/ ,Energy analysis data mining,I have no clue.,Little to none. Patrick Haller is a buddy of mine and can vouch that I'm not completely dumb though.
Singapore,06/10/2013,04/29/2014,04/23/2014,1,1,0,0,1,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/64446182/ ,Data analysis,.,Noob
Singapore,03/04/2014,03/04/2014,03/12/2014,1,1,0,0,1,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/135659482/ ,Wana learn about R...,No experience,No experience
Taipei,09/28/2013,09/28/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/105319862/ ,Statistics & Predictive,Word cloud,New comer
Singapore,08/24/2011,02/10/2014,01/15/2014,8,8,0,0,8,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/11123043/ ,financial applications,NA,beginner
Singapore,10/20/2013,04/16/2014,03/12/2014,1,1,0,0,1,0,Yes,Yes,No,No,http://www.meetup.com/R-User-Group-SG/members/82632442/ ,Not started yet but will like to get started!,Nil,Novice
Manila,06/30/2012,07/01/2012,,0,0,0,0,0,0,Yes,Yes,No,No,http://www.meetup.com/R-User-Group-SG/members/47362822/ ,"research, Kaggle competition, for fun :)",caret - classification and regression training still learning how to use it though :),newbie
Singapore,06/16/2013,05/14/2014,04/23/2014,12,12,0,0,8,0,Yes,Yes,Yes,Digest,http://www.meetup.com/R-User-Group-SG/members/98201752/ ,Risk Analysis and Scorecard Building,shiny,Have coded a number of specialised algorithm in R
Bangkok,10/31/2012,04/21/2014,,0,0,0,0,0,0,Yes,No,No,No,http://www.meetup.com/R-User-Group-SG/members/68142362/ ,"Bioinformatics, Statistics, Algorithms for Machine learning and Large-scale data analysis",Many,Since 2009
Singapore,03/08/2014,05/13/2014,,2,1,0,1,0,0,Yes,No,No,No,http://www.meetup.com/R-User-Group-SG/members/113210782/ ,Scientific data analysis. Most recently for a multinomial linear logit regression.,rpart,"I began to use R for my exam in Computational Statistics, and used it again for some student projects which required complex data analysis."
Singapore,01/15/2014,01/15/2014,01/15/2014,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/119650742/ ,fun,erm,none
Singapore,10/03/2011,10/04/2013,08/14/2013,3,1,0,2,1,0,Yes,Yes,No,No,http://www.meetup.com/R-User-Group-SG/members/10507998/ ,"Not currently using R yet, curious to see how people are using it.",nil,Beginner.
Singapore,11/02/2012,01/10/2014,01/15/2014,3,3,0,0,3,0,Yes,Yes,No,Digest,http://www.meetup.com/R-User-Group-SG/members/12626401/ ,Data science,None yet,Rudimentary- most of my experience is in Hadoop MR + Python
Singapore,10/12/2011,08/15/2013,08/14/2013,6,3,0,3,3,0,Yes,Yes,No,Digest,http://www.meetup.com/R-User-Group-SG/members/27788312/ ,"R could be part of my proposal for business analytics solutions, and I also need it for my part-time study in risk management course",I don't have any specific ones yet as I am new to R,"Minimum experience on R, but had experience With Matlab before."
Singapore,12/05/2012,01/15/2013,12/12/2012,1,1,0,0,1,0,Yes,Yes,No,Digest,http://www.meetup.com/R-User-Group-SG/members/71804332/ ,Statistics,No ideas what is a CRAN package,Very basic. Calculating mutations in different gene cell samples.
Sydney,11/20/2013,03/08/2014,03/12/2014,6,5,0,1,5,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/80687832/ ,"As the 18th letter in the alphabet, I find it makes my sentences flow much more fluidly when I use it... =p",boot,dangerous professional amateur =]
Singapore,11/13/2013,11/13/2013,12/03/2013,1,1,0,0,1,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/119812752/ ,.,.,.
Singapore,03/02/2014,05/13/2014,04/23/2014,3,3,0,0,2,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/9885922/ ,Research in social computing.,ZOO,"Geo, temporal, social media computing & ML."
Singapore,05/28/2012,04/17/2014,06/06/2012,2,1,0,1,1,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/13006903/ ,Would like to use it for data mining,data.table,
Singapore,03/06/2014,03/14/2014,03/12/2014,1,1,0,0,1,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/135949102/ ,"data analysis, computation",ggplot2,beginner
"Palo Alto, CA",08/16/2010,04/22/2013,04/20/2012,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/8481017/ ,Lots of things. I evangelize R at blog.revolutionanalytics.com,"There are many, but I use foreach and ggplot2 a lot.","I wrote part of \""Introduction to R\""."
Singapore,05/12/2014,05/12/2014,,2,2,0,0,0,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/114874292/ ,I am new to R programming language and learning it currently for use in data science.,ISLR,Basic
Singapore,08/12/2013,08/14/2013,08/14/2013,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/3135765/ ,Nothing right now.,Not sure what that is.,None yet.
Singapore,10/26/2012,03/05/2014,08/14/2013,3,1,0,2,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/34264552/ ,I use R in Finance.,I haven't figured out my favorite package yet. Care to recommend one?,I have taken three online courses with R as the programming language.
Singapore,11/24/2013,01/19/2014,02/12/2014,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/121253372/ ,noob,?,ultralow
Singapore,02/04/2014,02/16/2014,04/23/2014,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/6161728/ ,Just to know R.,No,Not at all.
